predicted_tables,reference_tables,query,question,db_id
"To answer this question, we need to join the `ship`, `death`, and `battle` tables. We can then group by `ship_id` and `name` and sum the `injured` column to get the total number of injuries for each ship. We can then order the results in descending order and limit the result to get the ship with the most injuries. Here is the SQL query: ```sql SELECT s.id, s.name, SUM(d.injured) AS total_injuries FROM ship s JOIN death d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY total_injuries DESC LIMIT 1","death, ship","SELECT T2.id ,  T2.name FROM death AS T1 JOIN ship AS t2 ON T1.caused_by_ship_id  =  T2.id GROUP BY T2.id ORDER BY count(*) DESC LIMIT 1",What is the ship id and name that caused most total injuries?,battle_death
SELECT DISTINCT b.name FROM battle b WHERE b.bulgarian_commander = 'Kaloyan' AND b.latin_commander = 'Baldwin I',battle,SELECT name FROM battle WHERE bulgarian_commander  =  'Kaloyan' AND latin_commander  =  'Baldwin I',What are the distinct battle names which are between bulgarian commander 'Kaloyan' and latin commander 'Baldwin I'?,battle_death
SELECT COUNT(DISTINCT result) FROM battle,battle,SELECT count(DISTINCT RESULT) FROM battle,How many different results are there for the battles?,battle_death
SELECT COUNT(*) FROM battle WHERE id NOT IN (SELECT lost_in_battle FROM ship WHERE tonnage = '225'),"battle, ship",SELECT count(*) FROM battle WHERE id NOT IN ( SELECT lost_in_battle FROM ship WHERE tonnage  =  '225' );,How many battles did not lose any ship with tonnage '225'?,battle_death
"SELECT b.name, b.date FROM battle b JOIN ship s ON b.id = s.lost_in_battle WHERE s.name IN ('Lettice', 'HMS Atalanta') AND s.disposition_of_ship = 'Lost'","battle, ship","SELECT T1.name ,  T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.name  =  'Lettice' INTERSECT SELECT T1.name ,  T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.name  =  'HMS Atalanta'",List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',battle_death
"SELECT name, result, bulgarian_commander FROM battle WHERE id NOT IN (SELECT lost_in_battle FROM ship WHERE location = 'English Channel')","battle, ship","SELECT name ,  RESULT ,  bulgarian_commander FROM battle EXCEPT SELECT T1.name ,  T1.result ,  T1.bulgarian_commander FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.location  =  'English Channel'","Show names, results and bulgarian commanders of the battles with no ships lost in the 'English Channel'.",battle_death
SELECT note FROM death WHERE note LIKE '%East%',death,SELECT note FROM death WHERE note LIKE '%East%',What are the notes of the death events which has substring 'East'?,battle_death
"SELECT line_1, line_2 FROM Addresses",addresses,"SELECT line_1 ,  line_2 FROM addresses",what are all the addresses including line 1 and line 2?,student_transcripts_tracking
"SELECT line_1, line_2 FROM Addresses",addresses,"SELECT line_1 ,  line_2 FROM addresses",What is the first and second line for all addresses?,student_transcripts_tracking
SELECT COUNT(DISTINCT course_id) FROM Courses,Courses,SELECT count(*) FROM Courses,How many courses in total are listed?,student_transcripts_tracking
SELECT COUNT(DISTINCT course_id) FROM Courses,Courses,SELECT count(*) FROM Courses,How many courses are there?,student_transcripts_tracking
"SELECT course_name, course_description FROM Courses WHERE course_id = 2",Courses,SELECT course_description FROM Courses WHERE course_name  =  'math',How is the math course described?,student_transcripts_tracking
SELECT course_description FROM Courses WHERE course_name = 'math',Courses,SELECT course_description FROM Courses WHERE course_name  =  'math',What are the descriptions for all the math courses?,student_transcripts_tracking
SELECT zip_postcode FROM Addresses WHERE city = 'Port Chelsea',Addresses,SELECT zip_postcode FROM Addresses WHERE city  =  'Port Chelsea',What is the zip code of the address in the city Port Chelsea?,student_transcripts_tracking
SELECT zip_postcode FROM Addresses WHERE city = 'Port Chelsea',Addresses,SELECT zip_postcode FROM Addresses WHERE city  =  'Port Chelsea',What is the zip code for Port Chelsea?,student_transcripts_tracking
"SELECT d.department_id, d.department_name FROM Departments d INNER JOIN Degree_Programs dp ON d.department_id = dp.department_id GROUP BY d.department_id, d.department_name ORDER BY COUNT(dp.degree_program_id) DESC LIMIT 1","Degree_Programs, Departments","SELECT T2.department_name ,  T1.department_id FROM Degree_Programs AS T1 JOIN Departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id ORDER BY count(*) DESC LIMIT 1",Which department offers the most number of degrees? List department name and id.,student_transcripts_tracking
"SELECT d.department_name, d.department_id FROM Departments d INNER JOIN Degree_Programs dp ON d.department_id = dp.department_id GROUP BY d.department_id ORDER BY COUNT(dp.degree_program_id) DESC LIMIT 1","degree_programs, departments","select t2.department_name ,  t1.department_id from degree_programs as t1 join departments as t2 on t1.department_id  =  t2.department_id group by t1.department_id order by count(*) desc limit 1",What is the name and id of the department with the most number of degrees ?,student_transcripts_tracking
SELECT COUNT(DISTINCT d.department_id) FROM Departments d INNER JOIN Degree_Programs dp ON d.department_id = dp.department_id,Degree_Programs,SELECT count(DISTINCT department_id) FROM Degree_Programs,How many departments offer any degree?,student_transcripts_tracking
SELECT COUNT(DISTINCT d.department_id) FROM Departments d INNER JOIN Degree_Programs dp ON d.department_id = dp.department_id,Degree_Programs,SELECT count(DISTINCT department_id) FROM Degree_Programs,How many different departments offer degrees?,student_transcripts_tracking
SELECT COUNT(DISTINCT degree_summary_name) FROM Degree_Programs,Degree_Programs,SELECT count(DISTINCT degree_summary_name) FROM Degree_Programs,How many different degree names are offered?,student_transcripts_tracking
SELECT COUNT(DISTINCT degree_summary_name) FROM Degree_Programs,Degree_Programs,SELECT count(DISTINCT degree_summary_name) FROM Degree_Programs,How many different degrees are offered?,student_transcripts_tracking
SELECT COUNT(degree_program_id) FROM Degree_Programs WHERE department_id IN (SELECT department_id FROM Departments WHERE department_name = 'engineering'),"Departments, Degree_Programs",SELECT count(*) FROM Departments AS T1 JOIN Degree_Programs AS T2 ON T1.department_id  =  T2.department_id WHERE T1.department_name  =  'engineer',How many degrees does the engineering department offer?,student_transcripts_tracking
SELECT COUNT(degree_program_id) FROM Degree_Programs WHERE department_id IN (SELECT department_id FROM Departments WHERE department_name = 'engineering'),"Departments, Degree_Programs",SELECT count(*) FROM Departments AS T1 JOIN Degree_Programs AS T2 ON T1.department_id  =  T2.department_id WHERE T1.department_name  =  'engineer',How many degrees does the engineering department have?,student_transcripts_tracking
"SELECT section_name, section_description FROM Sections",Sections,"SELECT section_name ,  section_description FROM Sections",What are the names and descriptions of all the sections?,student_transcripts_tracking
"SELECT section_name, section_description FROM Sections",Sections,"SELECT section_name ,  section_description FROM Sections",What are the names and descriptions for all the sections?,student_transcripts_tracking
"SELECT c.course_name, c.course_id FROM Courses c JOIN Sections s ON c.course_id = s.course_id GROUP BY c.course_name, c.course_id HAVING COUNT(s.section_id) <= 2","Courses, Sections","SELECT T1.course_name ,  T1.course_id FROM Courses AS T1 JOIN Sections AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_id HAVING count(*)  <=  2",What are the names and id of courses having at most 2 sections?,student_transcripts_tracking
"SELECT c.course_name, c.course_id FROM Courses c WHERE c.course_id NOT IN ( SELECT s.course_id FROM Sections s GROUP BY s.course_id HAVING COUNT(*) < 2 )","Courses, Sections","SELECT T1.course_name ,  T1.course_id FROM Courses AS T1 JOIN Sections AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_id HAVING count(*)  <=  2",What are the names and ids of every course with less than 2 sections?,student_transcripts_tracking
SELECT section_name FROM Sections ORDER BY section_name DESC,Sections,SELECT section_name FROM Sections ORDER BY section_name DESC,List the section_name in reversed lexicographical order.,student_transcripts_tracking
SELECT section_name FROM Sections ORDER BY section_name DESC,Sections,SELECT section_name FROM Sections ORDER BY section_name DESC,What are the names of the sections in reverse alphabetical order?,student_transcripts_tracking
"SELECT s.semester_name, s.semester_id FROM Semesters s JOIN Student_Enrolment se ON s.semester_id = se.semester_id JOIN Students st ON se.student_id = st.student_id GROUP BY s.semester_name, s.semester_id ORDER BY COUNT(st.student_id) DESC LIMIT 1","Semesters, Student_Enrolment","SELECT T1.semester_name ,  T1.semester_id FROM Semesters AS T1 JOIN Student_Enrolment AS T2 ON T1.semester_id  =  T2.semester_id GROUP BY T1.semester_id ORDER BY count(*) DESC LIMIT 1",What is the semester which most student registered in? Show both the name and the id.,student_transcripts_tracking
"To answer this question, we need to join the `Semesters`, `Student_Enrolment`, and `Students` tables. We can use the `COUNT(*)` function to count the number of students registered for each semester. Then, we can use the `GROUP BY` clause to group the results by semester. Finally, we can use the `ORDER BY` clause to order the results by the count of students in descending order. Here is the SQL query to get the name and id of the semester with the most students registered: ```sql SELECT s.semester_id, s.semester_name FROM Semesters s JOIN Student_Enrolment se ON s.semester_id = se.semester_id JOIN Students st ON se.student_id = st.student_id GROUP BY s.semester_id, s.semester_name ORDER BY COUNT(*) DESC LIMIT 1","Semesters, Student_Enrolment","SELECT T1.semester_name ,  T1.semester_id FROM Semesters AS T1 JOIN Student_Enrolment AS T2 ON T1.semester_id  =  T2.semester_id GROUP BY T1.semester_id ORDER BY count(*) DESC LIMIT 1","For each semester, what is the name and id of the one with the most students registered?",student_transcripts_tracking
The department whose name has the substring 'computer' is 'computer science'.,Departments,SELECT department_description FROM Departments WHERE department_name LIKE '%computer%',What is the description of the department whose name has the substring the computer?,student_transcripts_tracking
SELECT department_description FROM Departments WHERE department_name LIKE '%computer%',Departments,SELECT department_description FROM Departments WHERE department_name LIKE '%computer%',What is the department description for the one whose name has the word computer?,student_transcripts_tracking
"SELECT s.first_name, s.middle_name, s.last_name, s.student_id FROM Students s JOIN Student_Enrolment se ON s.student_id = se.student_id JOIN Degree_Programs dp ON se.degree_program_id = dp.degree_program_id JOIN Semesters sm ON se.semester_id = sm.semester_id GROUP BY s.student_id HAVING COUNT(DISTINCT dp.degree_program_id) = 2","Students, Student_Enrolment","SELECT T1.first_name ,  T1.middle_name ,  T1.last_name ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id HAVING count(*)  =  2","Who are enrolled in 2 degree programs in one semester? List the first name, middle name and last name and the id.",student_transcripts_tracking
"SELECT s.student_id, s.first_name, s.middle_name, s.last_name FROM Students s JOIN Student_Enrolment se ON s.student_id = se.student_id JOIN Degree_Programs dp ON se.degree_program_id = dp.degree_program_id WHERE se.semester_id = [semester_id] GROUP BY s.student_id, s.first_name, s.middle_name, s.last_name HAVING COUNT(DISTINCT dp.degree_program_id) = 2","Students, Student_Enrolment","SELECT T1.first_name ,  T1.middle_name ,  T1.last_name ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id HAVING count(*)  =  2","What are the first, middle, and last names, along with the ids, of all students who enrolled in 2 degree programs in one semester?",student_transcripts_tracking
"SELECT first_name, middle_name, last_name FROM Students WHERE student_id IN ( SELECT student_id FROM Student_Enrolment WHERE degree_program_id IN ( SELECT degree_program_id FROM Degree_Programs WHERE department_id IN ( SELECT department_id FROM Departments WHERE department_name = 'computer science' ) ) )","Students, Student_Enrolment, Degree_Programs","SELECT DISTINCT T1.first_name ,  T1.middle_name ,  T1.last_name FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id JOIN Degree_Programs AS T3 ON T2.degree_program_id  =  T3.degree_program_id WHERE T3.degree_summary_name  =  'Bachelor'","Who is enrolled in a Bachelor degree program? List the first name, middle name, last name.",student_transcripts_tracking
"SELECT first_name, middle_name, last_name FROM Students WHERE student_id IN ( SELECT student_id FROM Student_Enrolment WHERE degree_program_id IN ( SELECT degree_program_id FROM Degree_Programs WHERE degree_summary_name = 'Bachelors' ) )","Students, Student_Enrolment, Degree_Programs","SELECT DISTINCT T1.first_name ,  T1.middle_name ,  T1.last_name FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id JOIN Degree_Programs AS T3 ON T2.degree_program_id  =  T3.degree_program_id WHERE T3.degree_summary_name  =  'Bachelor'","What are the first, middle, and last names for everybody enrolled in a Bachelors program?",student_transcripts_tracking
"To find the kind of program which most number of students are enrolled in, we need to count the number of students for each degree program and then find the one with the maximum count. Here is the SQL query to do that: ```sql SELECT dp.degree_summary_name, COUNT(se.student_id) as student_count FROM Degree_Programs dp JOIN Student_Enrolment se ON dp.degree_program_id = se.degree_program_id GROUP BY dp.degree_summary_name ORDER BY student_count DESC LIMIT 1","Degree_Programs, Student_Enrolment",SELECT T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY count(*) DESC LIMIT 1,Find the kind of program which most number of students are enrolled in?,student_transcripts_tracking
"To find the degree summary name that has the most number of students enrolled, we need to join the `Degree_Programs`, `Student_Enrolment`, and `Students` tables. We can then group by the `degree_summary_name` and count the number of students. The degree summary name with the highest count will be the result. Here is the SQL query to achieve this: ```sql SELECT dp.degree_summary_name, COUNT(s.student_id) AS student_count FROM Degree_Programs dp JOIN Student_Enrolment se ON dp.degree_program_id = se.degree_program_id JOIN Students s ON se.student_id = s.student_id GROUP BY dp.degree_summary_name ORDER BY student_count DESC LIMIT 1","Degree_Programs, Student_Enrolment",SELECT T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY count(*) DESC LIMIT 1,What is the degree summary name that has the most number of students enrolled?,student_transcripts_tracking
"SELECT dp.degree_program_id, dp.degree_summary_name FROM Degree_Programs dp JOIN Student_Enrolment se ON dp.degree_program_id = se.degree_program_id JOIN Students s ON se.student_id = s.student_id GROUP BY dp.degree_program_id, dp.degree_summary_name ORDER BY COUNT(s.student_id) DESC LIMIT 1","Degree_Programs, Student_Enrolment","SELECT T1.degree_program_id ,  T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY count(*) DESC LIMIT 1",Find the program which most number of students are enrolled in. List both the id and the summary.,student_transcripts_tracking
"To find the program id and the summary of the degree that has the most students enrolled, you can use the following SQL query: ```sql SELECT dp.degree_program_id, dp.degree_summary_name FROM Degree_Programs dp INNER JOIN Student_Enrolment se ON dp.degree_program_id = se.degree_program_id GROUP BY dp.degree_program_id, dp.degree_summary_name ORDER BY COUNT(se.student_id) DESC LIMIT 1","Degree_Programs, Student_Enrolment","SELECT T1.degree_program_id ,  T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY count(*) DESC LIMIT 1",What is the program id and the summary of the degree that has the most students enrolled?,student_transcripts_tracking
"To answer this question, we need to join the `Students`, `Student_Enrolment`, and `Degree_Programs` tables. We can then group the results by student and count the number of enrollments. The student with the highest count will be the answer. Here is the SQL query: ```sql SELECT s.student_id, s.first_name, s.middle_name, s.last_name, COUNT(se.student_id) AS num_enrollments FROM Students s JOIN Student_Enrolment se ON s.student_id = se.student_id JOIN Degree_Programs dp ON se.degree_program_id = dp.degree_program_id GROUP BY s.student_id, s.first_name, s.middle_name, s.last_name ORDER BY num_enrollments DESC LIMIT 1","Students, Student_Enrolment","SELECT T1.student_id ,  T1.first_name ,  T1.middle_name ,  T1.last_name ,  count(*) ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1","Which student has enrolled for the most times in any program? List the id, first name, middle name, last name, the number of enrollments and student id.",student_transcripts_tracking
"To answer this question, we need to join several tables and count the number of enrollments for each student. Here is the SQL query: ```sql SELECT s.student_id, s.first_name, s.middle_name, s.last_name, COUNT(se.student_enrolment_id) AS num_enrollments FROM Students s JOIN Student_Enrolment se ON s.student_id = se.student_id GROUP BY s.student_id, s.first_name, s.middle_name, s.last_name ORDER BY num_enrollments DESC LIMIT 1","Students, Student_Enrolment","SELECT T1.student_id ,  T1.first_name ,  T1.middle_name ,  T1.last_name ,  count(*) ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1","What is the first, middle, and last name, along with the id and number of enrollments, for the student who enrolled the most in any program?",student_transcripts_tracking
SELECT s.semester_name FROM Semesters s LEFT JOIN Student_Enrolment se ON s.semester_id = se.semester_id WHERE se.semester_id IS NULL,"Semesters, Student_Enrolment",SELECT semester_name FROM Semesters WHERE semester_id NOT IN( SELECT semester_id FROM Student_Enrolment ),Which semesters do not have any student enrolled? List the semester name.,student_transcripts_tracking
SELECT semester_name FROM Semesters WHERE semester_id NOT IN (SELECT semester_id FROM Student_Enrolment),"Semesters, Student_Enrolment",SELECT semester_name FROM Semesters WHERE semester_id NOT IN( SELECT semester_id FROM Student_Enrolment ),What is the name of the semester with no students enrolled?,student_transcripts_tracking
SELECT c.course_name FROM Courses c INNER JOIN Student_Enrolment_Courses sec ON c.course_id = sec.course_id INNER JOIN Student_Enrolment se ON sec.student_enrolment_id = se.student_enrolment_id INNER JOIN Students s ON se.student_id = s.student_id GROUP BY c.course_name,"Courses, Student_Enrolment_Courses",SELECT DISTINCT T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id,What are all the course names of the courses which ever have students enrolled in?,student_transcripts_tracking
SELECT c.course_name FROM Courses c INNER JOIN Student_Enrolment_Courses sec ON c.course_id = sec.course_id INNER JOIN Student_Enrolment se ON sec.student_enrolment_id = se.student_enrolment_id INNER JOIN Students s ON se.student_id = s.student_id GROUP BY c.course_name,"Courses, Student_Enrolment_Courses",SELECT DISTINCT T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id,What are the names of all courses that have some students enrolled?,student_transcripts_tracking
"SELECT c.course_name, COUNT(*) as enrollment_count FROM Courses c JOIN Student_Enrolment_Courses sec ON c.course_id = sec.course_id GROUP BY c.course_name ORDER BY enrollment_count DESC LIMIT 1","Courses, Student_Enrolment_Courses",SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1,What's the name of the course with most number of enrollments?,student_transcripts_tracking
"SELECT c.course_name, COUNT(se.student_id) as student_count FROM Courses c JOIN Sections s ON c.course_id = s.course_id JOIN Student_Enrolment se ON s.section_id = se.section_id GROUP BY c.course_name ORDER BY student_count DESC LIMIT 1","Courses, Student_Enrolment_Courses",SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1,What is the name of the course with the most students enrolled?,student_transcripts_tracking
SELECT s.last_name FROM Students s INNER JOIN Addresses a ON s.current_address_id = a.address_id LEFT JOIN Student_Enrolment se ON s.student_id = se.student_id WHERE a.state_province_county = 'North Carolina' AND se.degree_program_id IS NULL,"Students, Addresses, Student_Enrolment",SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,Find the last name of the students who currently live in the state of North Carolina but have not registered in any degree program.,student_transcripts_tracking
SELECT s.last_name FROM Students s INNER JOIN Addresses a ON s.current_address_id = a.address_id OR s.permanent_address_id = a.address_id LEFT JOIN Student_Enrolment se ON s.student_id = se.student_id WHERE a.state_province_county = 'North Carolina' AND se.degree_program_id IS NULL,"Students, Addresses, Student_Enrolment",SELECT T1.last_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id  =  T2.address_id WHERE T2.state_province_county  =  'NorthCarolina' EXCEPT SELECT DISTINCT T3.last_name FROM Students AS T3 JOIN Student_Enrolment AS T4 ON T3.student_id  =  T4.student_id,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,student_transcripts_tracking
"To answer this question, we need to join several tables and count the number of records in the `Transcript_Contents` table for each `transcript_id`. We can use the `GROUP BY` clause to group the records by `transcript_id` and the `HAVING` clause to filter out the transcripts that have at least 2 course results. Here is the SQL query: ```sql SELECT t.transcript_date, t.transcript_id FROM Transcripts t JOIN Transcript_Contents tc ON t.transcript_id = tc.transcript_id GROUP BY t.transcript_id HAVING COUNT(tc.student_course_id) >= 2","Transcript_Contents, Transcripts","SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id HAVING count(*)  >=  2",Show the date and id of the transcript with at least 2 course results.,student_transcripts_tracking
"To find the date and id of the transcript with at least 2 courses listed, you can use the following SQL query: ```sql SELECT t.transcript_date, t.transcript_id FROM Transcripts t JOIN Transcript_Contents tc ON t.transcript_id = tc.transcript_id JOIN Student_Enrolment_Courses sec ON tc.student_course_id = sec.student_course_id GROUP BY t.transcript_date, t.transcript_id HAVING COUNT(sec.course_id) >= 2","Transcript_Contents, Transcripts","SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id HAVING count(*)  >=  2",What is the date and id of the transcript with at least 2 courses listed?,student_transcripts_tracking
SELECT cell_mobile_number FROM Students WHERE first_name = 'Timmothy' AND last_name = 'Ward',Students,SELECT cell_mobile_number FROM Students WHERE first_name  =  'Timmothy' AND last_name  =  'Ward',What is the phone number of the man with the first name Timmothy and the last name Ward?,student_transcripts_tracking
SELECT cell_mobile_number FROM Students WHERE first_name = 'Timmothy' AND last_name = 'Ward',students,select cell_mobile_number from students where first_name  =  'timmothy' and last_name  =  'ward',What is the mobile phone number of the student named Timmothy Ward ?,student_transcripts_tracking
"SELECT first_name, middle_name, last_name FROM Students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM Students) LIMIT 1",Students,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1","Who is the first student to register? List the first name, middle name and last name.",student_transcripts_tracking
"SELECT first_name, middle_name, last_name FROM Students WHERE date_first_registered = (SELECT MIN(date_first_registered) FROM Students) LIMIT 1",Students,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1","What is the first, middle, and last name of the first student to register?",student_transcripts_tracking
"SELECT first_name, middle_name, last_name FROM Students WHERE date_left = (SELECT MIN(date_left) FROM Students) LIMIT 1",Students,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1","Who is the earliest graduate of the school? List the first name, middle name and last name.",student_transcripts_tracking
"SELECT first_name, middle_name, last_name FROM Students WHERE date_left IS NOT NULL ORDER BY date_first_registered LIMIT 1",Students,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1","What is the first, middle, and last name of the earliest school graduate?",student_transcripts_tracking
SELECT first_name FROM Students WHERE current_address_id != permanent_address_id,Students,SELECT first_name FROM Students WHERE current_address_id != permanent_address_id,Whose permanent address is different from his or her current address? List his or her first name.,student_transcripts_tracking
SELECT first_name FROM Students WHERE current_address_id <> permanent_address_id LIMIT 1,Students,SELECT first_name FROM Students WHERE current_address_id != permanent_address_id,What is the first name of the student whose permanent address is different from his or her current one?,student_transcripts_tracking
"To find the address that holds the most number of students currently, we need to count the number of students for each address and then find the address with the maximum count. Here is the SQL query to achieve this: ```sql SELECT a.address_id, a.line_1, a.line_2, a.line_3, a.city, a.zip_postcode, a.state_province_county, a.country FROM Addresses a JOIN Students s ON a.address_id = s.current_address_id GROUP BY a.address_id ORDER BY COUNT(s.student_id) DESC LIMIT 1","Addresses, Students","SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1",Which address holds the most number of students currently? List the address id and all lines.,student_transcripts_tracking
"To find the address with the most students, we need to count the number of students for each address and then select the address with the maximum count. We can use the following SQL query to achieve this: ```sql SELECT a.address_id, a.line_1, a.line_2 FROM Addresses a JOIN Students s ON a.address_id = s.current_address_id OR a.address_id = s.permanent_address_id GROUP BY a.address_id, a.line_1, a.line_2 ORDER BY COUNT(s.student_id) DESC LIMIT 1","Addresses, Students","SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1","What is the id, line 1, and line 2 of the address with the most students?",student_transcripts_tracking
"To answer this question, we need to join the `Transcripts` and `Transcript_Contents` tables, and then calculate the average of the `transcript_date`. Here is the SQL query: ```sql SELECT AVG(transcript_date) AS average_transcript_date FROM Transcripts JOIN Transcript_Contents ON Transcripts.transcript_id = Transcript_Contents.transcript_id",Transcripts,SELECT avg(transcript_date) FROM Transcripts,"On average, when were the transcripts printed?",student_transcripts_tracking
"To find the average transcript date, you would need to join the `Transcripts` and `Transcript_Contents` tables on the `transcript_id` column. Then, you can calculate the average of the `transcript_date` column. Here is the SQL query to calculate the average transcript date: ```sql SELECT AVG(transcript_date) AS average_transcript_date FROM Transcripts JOIN Transcript_Contents ON Transcripts.transcript_id = Transcript_Contents.transcript_id",Transcripts,SELECT avg(transcript_date) FROM Transcripts,What is the average transcript date?,student_transcripts_tracking
"The first transcript is released when the transcript_date in the Transcripts table is the earliest date. To find this, we can use the following SQL query: ```sql SELECT transcript_date, other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1",Transcripts,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1",When is the first transcript released? List the date and details.,student_transcripts_tracking
"The earliest date of a transcript release can be found by querying the ""transcript_date"" column in the ""Transcripts"" table. The details of the transcript release can be obtained by joining the ""Transcripts"" and ""Transcript_Contents"" tables on the ""transcript_id"" column. Here is the SQL query to find the earliest date of a transcript release and the corresponding details: ```sql SELECT t.transcript_date, tc.student_course_id FROM Transcripts t JOIN Transcript_Contents tc ON t.transcript_id = tc.transcript_id ORDER BY t.transcript_date ASC LIMIT 1",Transcripts,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1","What is the earliest date of a transcript release, and what details can you tell me?",student_transcripts_tracking
SELECT COUNT(*) FROM Transcripts,Transcripts,SELECT count(*) FROM Transcripts,How many transcripts are released?,student_transcripts_tracking
SELECT COUNT(*) FROM Transcripts,Transcripts,SELECT count(*) FROM Transcripts,How many transcripts are listed?,student_transcripts_tracking
SELECT MAX(transcript_date) FROM Transcripts,Transcripts,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,What is the last transcript release date?,student_transcripts_tracking
SELECT MAX(transcript_date) FROM Transcripts,Transcripts,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,When was the last transcript released?,student_transcripts_tracking
